iata,ciudad,fecha,t_max,t_min,precipitacion,viento,humedad
LCG,A Coruña,28/07/2024,21°,15.8°,"1,4 mm",19.3 Km/h,81.8 %
LCG,A Coruña,29/07/2024,21.7°,16°,"2,2 mm",23 Km/h,82.2 %
LCG,A Coruña,30/07/2024,23.2°,15.7°,"0,5 mm",16.7 Km/h,77.7 %
LCG,A Coruña,31/07/2024,22.5°,15.3°,"0,4 mm",17.5 Km/h,78.7 %
LCG,A Coruña,1/08/2024,21.8°,15.5°,"0,6 mm",20.3 Km/h,81 %
LCG,A Coruña,2/08/2024,20.8°,15.7°,"1,9 mm",19.2 Km/h,82 %
LCG,A Coruña,3/08/2024,21°,15.3°,"1,2 mm",17 Km/h,81.8 %
LCG,A Coruña,4/08/2024,21.2°,16.2°,"0,9 mm",18.8 Km/h,81.2 %
LCG,A Coruña,5/08/2024,21.2°,15.7°,"0,2 mm",17.3 Km/h,81.3 %
LCG,A Coruña,6/08/2024,21.7°,16.5°,"1,1 mm",22.7 Km/h,79.3 %
LCG,A Coruña,7/08/2024,22°,16.5°,"1,8 mm",23.3 Km/h,78.7 %
LCG,A Coruña,8/08/2024,23.5°,16.5°,"2,3 mm",24.5 Km/h,77.3 %
LCG,A Coruña,9/08/2024,23.2°,16.7°,"1,3 mm",22.5 Km/h,77 %
LCG,A Coruña,10/08/2024,23°,16.5°,"0,4 mm",18.8 Km/h,79.5 %
LCG,A Coruña,11/08/2024,22°,16.7°,"1,3 mm",17.5 Km/h,83.5 %
LCG,A Coruña,12/08/2024,20.8°,16.3°,"0,6 mm",14 Km/h,83.2 %
LCG,A Coruña,13/08/2024,20.8°,15.2°,"0,6 mm",12.7 Km/h,79.7 %
LCG,A Coruña,14/08/2024,21.2°,15°,"0,2 mm",15.2 Km/h,80.8 %
LCG,A Coruña,15/08/2024,21°,15°,"0,3 mm",20.2 Km/h,80.2 %
LCG,A Coruña,16/08/2024,20.3°,15.7°,"1,5 mm",19.7 Km/h,80.8 %
LCG,A Coruña,17/08/2024,20.3°,16°,"2,5 mm",19 Km/h,83.7 %
LCG,A Coruña,18/08/2024,21.3°,16°,"3,7 mm",23 Km/h,78.5 %
LCG,A Coruña,19/08/2024,21.2°,15.5°,2 mm,20.5 Km/h,79.3 %
LCG,A Coruña,20/08/2024,21.3°,15.5°,"1,8 mm",21.2 Km/h,82.3 %
LCG,A Coruña,21/08/2024,21.3°,16.7°,"0,3 mm",20.7 Km/h,81.3 %
LCG,A Coruña,22/08/2024,22.8°,16°,"0,1 mm",18.7 Km/h,80.3 %
LCG,A Coruña,23/08/2024,24.3°,17.3°,"1,2 mm",17.7 Km/h,77.5 %
